AD,ED,County,Candidate,Tally
24,024,Queens,Curtis A. Sliwa,26
24,024,Queens,Eric L. Adams,1
24,024,Queens,Irene Estrada,1
24,024,Queens,Jim Walden,1
24,024,Queens,Joseph Hernandez,0
24,024,Queens,Zohran Kwame Mamdani,155
24,025,Queens,Andrew M. Cuomo,74
24,025,Queens,Curtis A. Sliwa,25
24,025,Queens,Eric L. Adams,0
24,025,Queens,Irene Estrada,0
24,025,Queens,Jim Walden,0
24,025,Queens,Joseph Hernandez,0
24,025,Queens,Zohran Kwame Mamdani,80
24,026,Queens,Andrew M. Cuomo,100
24,026,Queens,Curtis A. Sliwa,31
24,026,Queens,Eric L. Adams,0
24,026,Queens,Irene Estrada,1
24,026,Queens,Jim Walden,1
24,026,Queens,Joseph Hernandez,0
24,026,Queens,Zohran Kwame Mamdani,178
24,027,Queens,Andrew M. Cuomo,63
24,027,Queens,Curtis A. Sliwa,8
24,027,Queens,Eric L. Adams,0
24,027,Queens,Irene Estrada,0
24,027,Queens,Jim Walden,0
24,027,Queens,Joseph Hernandez,0
24,027,Queens,Zohran Kwame Mamdani,254
24,028,Queens,Andrew M. Cuomo,143
24,028,Queens,Curtis A. Sliwa,32
24,028,Queens,Eric L. Adams,2
24,028,Queens,Irene Estrada,0
24,028,Queens,Jim Walden,0
